"header","predicate","type","value","attribute","subject_id","comment"
"building_name_pinyin","rdfs:label","language",,"zh-latn-pinyin","$root",
"building_name3_simplified","rdfs:label","language",,"zh-hans","$root",
"building_name2_traditional","rdfs:label","language",,"zh-hant","$root",
"building_name_en","rdfs:label","language",,"en","$root",
"comments_and_field_notes","rdfs:comment","plain",,,"$root",
"notes","rdfs:comment","plain",,,"$root",
"decimal_latitude","geo:lat","plain",,,"$root",
"decimal_longitude","geo:long","plain",,,"$root",
"verbatim_latitude","dwc:verbatimLatitude","plain",,,"$root",
"verbatim_longitude","dwc:verbatimLongitude","plain",,,"$root",
"$link","schema:geo","iri","_:3",,"$root",
"decimal_latitude","schema:latitude","plain",,,"_:3",
"decimal_longitude","schema:longitude","plain",,,"_:3",
"$link","dcterms:temporal","iri","_:2",,"$root",
"building_date","rdfs:label","plain",,,"_:2",
"building_start","gvp:estStart","datatype",,"xsd:gYear","_:2",
"building_end","gvp:estEnd","datatype",,"xsd:gYear","_:2",
"$constant","rdf:type","iri","time:Interval",,"_:2",
"$link","time:hasBeginning","iri","_:4",,"_:2",
"$link","time:hasEnd","iri","_:5",,"_:2",
"$link","time:inDateTime","iri","_:6",,"_:4",
"$link","time:inDateTime","iri","_:7",,"_:5",
"building_start","time:year","datatype",,"xsd:gYear","_:6",
"building_end","time:year","datatype",,"xsd:gYear","_:7",
"built_work_site_foreign_key","schema:containedInPlace","iri","http://tcadrt.org/work/",,"$root",
"ct_angled_bracket_arm","tcao:ct_angled_bracket_arm","plain",,,"$root","should be boolean"
"corner_angled_bracket_arm","tcao:corner_angled_bracket_arm","plain",,,"$root","should be boolean"
"ic_angled_bracket_arm","tcao:ic_angled_bracket_arm","plain",,,"$root","should be boolean"
"ic_match_ct","tcao:ic_match_ct","plain",,,"$root","should be boolean"
"pupaifang","tcao:pupaifang","plain",,,"$root","should be boolean"
"first_step_touxin","tcao:first_step_touxin","plain",,,"$root","should be boolean"
"first_step_jixin","tcao:first_step_jixin","plain",,,"$root","should be boolean"
"cejiao","tcao:cejiao","plain",,,"$root","should be boolean"
"pizhu_xiaang","tcao:pizhu_xiaang","plain",,,"$root","should be boolean"
"qinmian_xiaang","tcao:qinmian_xiaang","plain",,,"$root","should be boolean"
"qinmian-pizhu_xiaang","tcao:qinmian-pizhu_xiaang","plain",,,"$root","should be boolean"
"ang-shaped_shuatou","tcao:ang-shaped_shuatou","plain",,,"$root","should be boolean"
"beveled_linggong","tcao:beveled_linggong","plain",,,"$root","should be boolean"
"chamfered_linggong","tcao:chamfered_linggong","plain",,,"$root","should be boolean"
"number_of_ic_in_central_bay","tcao:number_of_ic_in_central_bay","plain",,,"$root","should be integer"
"number_of_xiaang","tcao:number_of_xiaang","plain",,,"$root","should be integer"
"front_facade_bays","tcao:front_facade_bays","plain",,,"$root","should be integer"
